name,g_whitep,g_websites,id,symbol,market_cap,market_cap_rank,total_supply,max_supply,circulating_supply,image,ath_date,atl_date
Interlay,"['https://docs.interlay.io/', 'https://eprint.iacr.org/2018/643.pdf']",['https://interlay.io/'],interlay,intr,1641341.0,1680.0,1000000000.0,,94782414.3560784,https://assets.coingecko.com/coins/images/26180/large/Interlay-Coinbase-2.png?1656382486,2022-07-18T19:45:36.630Z,2023-01-08T14:35:07.365Z
Navcoin,"['https://www.navcoin.org/files/navtech-whitepaper-beta-v0.9.pdf', 'https://doc.nav.community/']","['http://navcoin.org', 'https://info.navcoin.org']",nav-coin,nav,3163068.0,1341.0,,,76252898.5931305,https://assets.coingecko.com/coins/images/233/large/Navcoin_Logo.png?1618823660,2018-01-12T00:00:00.000Z,2014-10-31T00:00:00.000Z
Multichain,['https://docs.multichain.org/'],['https://multichain.org/'],multichain,multi,62338657.0,332.0,100000000.0,,19363292.6,https://assets.coingecko.com/coins/images/22087/large/1_Wyot-SDGZuxbjdkaOeT2-A.png?1640764238,2022-01-14T12:30:34.074Z,2022-06-19T02:34:57.530Z
GenomesDAO,[],['https://genomes.io'],genomesdao,$gene,1465891.0,1736.0,1000000000.0,1000000000.0,270847054.2630852,https://assets.coingecko.com/coins/images/20807/large/1637683704200x200.png?1637708934,2021-11-25T16:49:16.781Z,2023-01-01T18:55:16.141Z
ADAMANT Messenger,['https://adamant.im/whitepaper/adamant-whitepaper-en.pdf'],"['https://adamant.im', 'https://msg.adamant.im']",adamant-messenger,adm,1600855.0,1688.0,100671565.0,,110817114.5,https://assets.coingecko.com/coins/images/2372/large/adamant.png?1586835505,2019-05-15T23:44:19.855Z,2023-02-17T00:05:48.125Z
Huobi BTC,['https://www.hbtc.finance/static/pdf/whitepaper-en.pdf'],['https://www.hbtc.finance/zh-cn/'],huobi-btc,hbtc,201972946.0,148.0,8969.497004742,8969.497004742,8969.497004742,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896,2022-04-21T18:59:43.859Z,2020-10-12T03:56:16.768Z
GuildFi,['https://whitepaper.guildfi.com/'],['https://guildfi.com/'],guildfi,gf,17634155.0,695.0,1000000000.0,1000000000.0,295214328.740514,https://assets.coingecko.com/coins/images/20933/large/guildfi-logo-200.png?1638003537,2021-12-04T15:04:25.133Z,2023-05-26T13:00:43.372Z
NAGA,"['https://files.nagaico.com/documents/The%20NAGA%20Coin_White%20Paper_V1.0.0.pdf', 'https://docsend.com/view/srsg4zw']","['https://nagacoin.io', 'https://nagaico.com']",naga,ngc,7401822.0,994.0,77910266.0,77910266.0,77910266.0,https://assets.coingecko.com/coins/images/1439/large/naga.jpg?1547035515,2017-12-30T00:00:00.000Z,2020-03-13T02:12:35.954Z
Band Protocol,['https://bandprotocol.com/whitepaper-3.0.1.pdf'],['https://bandprotocol.com'],band-protocol,band,147130948.0,184.0,134906853.82513,,126107371.838294,https://assets.coingecko.com/coins/images/9545/large/Band_token_blue_violet_token.png?1625881431,2021-04-15T12:04:11.270Z,2019-11-25T05:49:22.765Z
Alchemix USD,[],['https://alchemix.fi/'],alchemix-usd,alusd,137476457.0,191.0,171719805.602693,,171719805.602693,https://assets.coingecko.com/coins/images/14114/large/Alchemix_USD.png?1614410406,2021-03-21T19:53:32.860Z,2021-03-19T22:40:28.697Z
NUDES,['https://nudes-1.gitbook.io/nudes/'],['https://nudes.army/'],nudes,nudes,2476176.0,1460.0,9929012942812560.0,1e+16,8585552831380630.0,https://assets.coingecko.com/coins/images/24888/large/NUDES.png?1649252682,2022-05-01T17:59:57.576Z,2023-01-05T10:29:37.441Z
MahaDAO,['https://docs.arthcoin.com/'],['https://mahadao.com/'],mahadao,maha,1959910.0,1603.0,10000000.0,10000000.0,4911702.969057147,https://assets.coingecko.com/coins/images/13404/large/MAHA_Token.png?1625651604,2021-01-18T14:07:35.812Z,2023-05-11T05:58:30.672Z
Aston Martin Cognizant Fan Token,[],"['https://medium.com/socios', 'https://chiliz.com', 'https://socios.com']",aston-martin-cognizant-fan-token,am,1447944.0,1744.0,10000000.0,,2009081.0,https://assets.coingecko.com/coins/images/16868/large/VVY4ZVPQ8EJoHgJGCRNGptFXFICPT5mpxwHMmSEW.png?1625476315,2021-07-06T10:33:43.080Z,2023-01-01T10:00:21.899Z
GraphLinq Protocol,"['https://graphlinq.io/litepaper.pdf', 'https://graphlinq.io/whitepaper.pdf']",['https://graphlinq.io/'],graphlinq-protocol,glq,1825689.0,1639.0,499999961.366287,499999961.366287,339999895.0,https://assets.coingecko.com/coins/images/14474/large/graphlinq_logo.jpg?1616397109,2021-05-18T09:24:41.144Z,2022-06-18T20:00:31.663Z
FutureCoin,['https://assets.e-futurecoin.com/Future-Coin-WP.pdf'],['https://e-futurecoin.com/'],futurecoin,future,1169838.0,1852.0,119680000.0,,38411534.56288676,https://assets.coingecko.com/coins/images/23806/large/3ptM03y.png?1645509244,2023-01-08T01:26:30.980Z,2023-05-19T19:20:17.792Z
Neighbourhoods,['https://whitepaper.neighbourhoods.network/'],['https://neighbourhoods.network/'],neighbourhoods,nht,1900536.0,1620.0,10000000000.0,30000000000.0,8572300325.099251,https://assets.coingecko.com/coins/images/22055/large/social_media_logo_black_bg.png?1640682530,2022-01-05T14:09:08.644Z,2023-01-17T17:46:14.486Z
Decentral Games,['https://docs.decentral.games'],['https://decentral.games/'],decentral-games,dg,12872595.0,813.0,681219905.978227,1000000000.0,681219905.978227,https://assets.coingecko.com/coins/images/21173/large/Decentral_Games_Logo-1.png?1638441275,2021-12-02T10:54:22.100Z,2023-01-25T15:02:22.957Z
Sologenic,['https://www.sologenic.com/downloads/sologenic-whitepaper.pdf'],['https://www.sologenic.com/'],solo-coin,solo,43196110.0,403.0,399198717.0,400000000.0,399198717.0,https://assets.coingecko.com/coins/images/10771/large/solo.png?1639914533,2021-12-02T18:22:08.995Z,2021-10-28T22:57:25.877Z
MahaDAO,['https://docs.arthcoin.com/'],['https://mahadao.com/'],mahadao,maha,1959910.0,1603.0,10000000.0,10000000.0,4911702.969057147,https://assets.coingecko.com/coins/images/13404/large/MAHA_Token.png?1625651604,2021-01-18T14:07:35.812Z,2023-05-11T05:58:30.672Z
ADAPad,[],['https://adapad.io/'],adapad,adapad,2306467.0,1500.0,375441694.823254,1000000000.0,375441694.823254,https://assets.coingecko.com/coins/images/18273/large/EhSqPTtG_400x400.jpg?1631181091,2021-10-06T21:50:04.424Z,2022-12-31T11:26:25.009Z
Dynex,[],[],dynex,dnx,9091369.0,932.0,56631832.1196032,100000000.0,56635885.9014675,https://assets.coingecko.com/coins/images/27776/large/Transparent_Logo.png?1665728441,2023-04-16T07:59:19.763Z,2022-10-19T08:57:45.443Z
OpenOcean,['https://docs.openocean.finance'],"['https://app.openocean.finance', 'https://openocean.finance']",openocean,ooe,7130195.0,1014.0,1000000000.0,1000000000.0,504425832.0,https://assets.coingecko.com/coins/images/17014/large/ooe_log.png?1626074195,2021-09-02T13:50:30.100Z,2023-01-05T12:05:10.560Z
Everdome,['https://everdome-static.s3.eu-north-1.amazonaws.com/EVERDOME_LITEPAPER_V3_compressed_0a2caf498c.pdf?updated_at=2022-02-14T10%3A42%3A22.506Z'],['https://everdome.io/'],everdome,dome,20534444.0,634.0,100000000000.0,100000000000.0,22177498356.0,https://assets.coingecko.com/coins/images/23267/large/Ix-ms0fq_400x400.jpg?1643414048,2022-02-17T10:40:37.142Z,2023-05-12T11:04:22.784Z
Sai,['https://makerdao.com/ru/whitepaper/sai/'],['https://makerdao.com/'],sai,sai,21915791.0,611.0,2910956.56571928,2910956.56571928,2910956.56571928,https://assets.coingecko.com/coins/images/1442/large/dai.png?1547035520,2021-05-14T17:24:02.613Z,2018-01-27T00:00:00.000Z
BEAM,['https://docs.beam.mw/BEAM_Position_Paper_v0.2.2.pdf'],['https://www.beam.mw/'],beam,beam,4755682.0,1170.0,262800000.0,,141399720.0,https://assets.coingecko.com/coins/images/7339/large/BEAM.png?1558013729,2019-01-04T14:43:42.084Z,2023-03-25T13:06:41.786Z
BUX,[],['https://getbux.com/'],blockport,bux,4518770.0,1192.0,76384000.0,,64853973.82022536,https://assets.coingecko.com/coins/images/2316/large/BUXC.png?1600760731,2019-02-21T05:59:36.833Z,2019-09-27T00:00:00.000Z
FactorDAO,['https://factorlaunch.notion.site/Whitepaper-d25b8a9d8d3341948c439038e387cf97'],['https://www.factor.fi/'],factor,fctr,2836922.0,1398.0,100000000.0,100000000.0,15000000.0,https://assets.coingecko.com/coins/images/29018/large/factor.jpg?1675944657,2023-02-26T22:30:23.357Z,2023-05-27T20:05:03.873Z
PAID Network,['https://docsend.com/view/jdbdpza9d9nehnf2'],"['https://paidnetwork.com', 'https://paidnetwork.medium.com']",paid-network,paid,3357238.0,1311.0,594717455.71,594717455.71,223595820.40154,https://assets.coingecko.com/coins/images/13761/large/512.png?1648630881,2021-04-11T21:08:21.738Z,2023-01-01T00:06:25.336Z
Golem,['https://golem.network/doc/Golemwhitepaper.pdf'],['https://golem.network'],golem,glm,169835806.0,171.0,1000000000.0,,1000000000.0,https://assets.coingecko.com/coins/images/542/large/Golem_Submark_Positive_RGB.png?1606392013,2018-04-13T09:13:22.739Z,2016-12-12T00:00:00.000Z
BNB,['https://www.exodus.com/assets/docs/binance-coin-whitepaper.pdf'],['https://www.binance.com/en/bnb'],binancecoin,bnb,39757158079.0,4.0,157900174.0,200000000.0,157886280.0,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,2021-11-07T10:13:53.906Z,2017-10-19T00:00:00.000Z
BTC 2x Flexible Leverage Index,[],[],btc-2x-flexible-leverage-index,btc2x-fli,1714616.0,1662.0,286971.82290293,,286971.82290293,https://assets.coingecko.com/coins/images/15406/large/Copy_of_BTC2x-FLI_token_logo.png?1646749417,2021-05-11T19:39:34.307Z,2022-11-22T07:05:12.392Z
Shardus,['https://shardus.com/whitepaper.pdf'],['https://shardus.com/'],shardus,ult,54129630.0,366.0,1000000000.0,,439556760.33010703,https://assets.coingecko.com/coins/images/8383/large/final_logo_photoshop.png?1557890272,2021-05-03T23:24:40.764Z,2020-02-03T01:57:18.293Z
Nimiq,"['https://medium.com/nimiq-network/nimiq-a-peer-to-peer-payment-protocol-native-to-the-web-ffd324bb084', 'https://nimiq.com/whitepaper']",['https://nimiq.com/'],nimiq-2,nim,13226654.0,802.0,8886561196.0,21000000000.0,10778355272.7649,https://assets.coingecko.com/coins/images/5119/large/nimiq.png?1548329167,2021-04-12T00:43:04.025Z,2020-01-03T01:55:45.891Z
INTchain,[],['https://intchain.io/'],internet-node-token,int,2114585.0,1555.0,927388163.718529,960304191.96,686537397.070946,https://assets.coingecko.com/coins/images/2519/large/int-logo-red-transparent_200x200.png?1617251612,2018-01-22T00:00:00.000Z,2022-12-23T23:15:42.551Z
BOSagora,['https://bosagora.io/wp-content/uploads/2020/01/BOSAGORA-Whitepaper-En.pdf'],['https://bosagora.io'],bosagora,boa,4428758.0,1197.0,584270391.375647,4950000000.0,332070223.155712,https://assets.coingecko.com/coins/images/9202/large/Picture1.png?1673623413,2021-03-28T15:11:46.457Z,2021-01-10T11:26:16.620Z
Kambria,"['https://kambria.io/Kambria_White_Paper_v2_20180615.pdf', 'https://r48z5eeksx9s2hyas5b71c69-wpengine.netdna-ssl.com/wp-content/uploads/2019/07/Kambria_White_Paper_v2_20180615.pdf']",['https://kambria.io/'],kambria,kat,3902065.0,1247.0,5000000000.0,,1595256717.8195074,https://assets.coingecko.com/coins/images/4784/large/kambria.png?1547040127,2018-12-20T00:55:07.871Z,2022-04-13T08:44:31.626Z
Minted,[],['http://www.minted.com/'],minted,mtd,17136433.0,707.0,884302483.0,1000000000.0,169804516.458889,https://assets.coingecko.com/coins/images/26893/large/MTD_Token_%282%29.png?1660708482,2022-11-06T13:23:52.441Z,2023-05-22T07:40:08.749Z
Golem,['https://golem.network/doc/Golemwhitepaper.pdf'],['https://golem.network'],golem,glm,169835806.0,171.0,1000000000.0,,1000000000.0,https://assets.coingecko.com/coins/images/542/large/Golem_Submark_Positive_RGB.png?1606392013,2018-04-13T09:13:22.739Z,2016-12-12T00:00:00.000Z
