id,googlepdflink,cg_whitep,cg_websites,name,g_whitep,g_websites,symbol,market_cap,market_cap_rank,total_supply,max_supply,circulating_supply,image,ath_date,atl_date
deepbrain-chain,,['https://deepbrainchain.org/assets/pdf/DeepBrainChainWhitepaper_en.pdf'],"['https://www.deepbrainchain.org/', 'https://deepbrainchainglobal.medium.com/']",DeepBrain Chain,[],[],dbc,9014757.0,934.0,10000000000.0,,3200000000.0,https://assets.coingecko.com/coins/images/2057/large/DeepBrainChain.png?1558013602,2018-01-09T00:00:00.000Z,2020-03-13T02:24:31.811Z
kleekai,,['https://klee-games.gitbook.io/documentation/'],['https://klee.games/'],KleeKai,['https://kleerun.game/whitepaper.pdf'],['https://kleerun.game/'],klee,1104286.0,1884.0,1e+17,,1e+17,https://assets.coingecko.com/coins/images/15548/large/Klee-Kai-Logo.png?1628258448,2021-10-29T20:20:09.608Z,2022-05-01T07:05:05.740Z
h2o-dao,,[],['https://h2o.homes/home'],H2O Dao,[],['https://h2o.homes/home'],h2o,21601544.0,618.0,1000000000.0,,225062277.0,https://assets.coingecko.com/coins/images/24588/large/M5-QvqZ8_400x400.jpg?1648226430,2022-06-02T04:17:56.939Z,2023-05-21T16:09:08.630Z
storj,https://www.storj.io/Storj-White-Paper-Executive-Summary.pdf,['https://www.storj.io/whitepaper'],['https://storj.io/'],Storj,"['https://storj.io/storj.pdf', 'https://storj.io/storj2014.pdf', 'https://www.storj.io/storj.pdf', 'https://www.storj.io/whitepaper']",['https://storj.io'],storj,35370992.0,456.0,424999998.0,,143787438.7,https://assets.coingecko.com/coins/images/949/large/storj.png?1547034811,2021-03-28T01:39:34.946Z,2020-03-13T02:29:53.872Z
blitz-labs,,[],['https://blitzlabs.io/'],Blitz Labs,['https://docs.blitzlabs.io/'],['https://blitzlabs.io/'],blitz,2122892.0,1552.0,270000000.0,270000000.0,212448847.46,https://assets.coingecko.com/coins/images/25554/large/cmc2.png?1652421101,2022-09-28T16:56:47.675Z,2023-04-09T16:20:26.615Z
altura,https://www.alturacs.com/wp-content/uploads/SAM-Eliminate-Voicemail-Whitepaper-Mutare-Altura.pdf,[],"['https://www.alturanft.com/', 'https://alturanft.medium.com/', 'https://app.alturanft.com/']",Altura,['https://drive.google.com/file/d/1xjCoKdDAsmS2lvAcNglszxhu3l15lajb/view'],"['https://alturanft.com', 'https://app.alturanft.com']",alu,20834870.0,631.0,990000000.0,990000000.0,719755021.0,https://assets.coingecko.com/coins/images/15127/large/logo-dark.png?1667292591,2021-11-03T05:27:14.786Z,2021-07-19T14:10:53.841Z
starcoin,https://starcoin.org/downloads/Starcoin_Whitepaper_202205.pdf,[],"['https://starcoin.org/', 'https://starcoin.medium.com/']",Starcoin,['https://starcoin.org/en/overview/technology_whitepaper/'],"['https://starcoin.org', 'https://starcoin.org/en']",stc,2296380.0,1498.0,309994475.0,3185136000.0,309994475.0,https://assets.coingecko.com/coins/images/20921/large/stc.png?1655535505,2022-08-20T22:18:31.089Z,2023-05-28T18:29:16.144Z
bitdao,,[],"['https://www.bitdao.io/', 'https://medium.com/bitdao']",BitDAO,['https://docs.bitdao.io/'],['https://www.bitdao.io/'],bit,599814335.0,64.0,9610239403.0,9610239403.0,1453909315.2107098,https://assets.coingecko.com/coins/images/17627/large/rI_YptK8.png?1653983088,2021-11-12T04:54:56.433Z,2022-12-17T02:15:30.928Z
impt,https://impt.io/assets/documents/Terms%20IMPT%20token.pdf,[],['https://www.impt.io/'],IMPT,[],['https://impt.io/'],impt,6449108.0,1053.0,2761897017.0,3000000000.0,1284683710.2374222,https://assets.coingecko.com/coins/images/28486/large/IMPT_logo.png?1677543087,2022-12-15T11:19:45.671Z,2023-05-16T01:55:47.262Z
crypterium,https://www.securities.io/wp-content/uploads/2022/05/Crypterium.pdf,['https://crypterium.io/wp/'],['https://crypterium.com/'],Crypterium,['https://whitepaper.io/document/134/crypterium-whitepaper'],"['https://crypterium.com', 'https://crypterium.io']",crpt,4497673.0,1193.0,95383752.0018727,,84971023.85714284,https://assets.coingecko.com/coins/images/1901/large/crypt.png?1547036205,2018-01-28T00:00:00.000Z,2023-05-11T18:45:38.505Z
pointpay,,['https://cdn.pointpay.io/WhitePaper__en.pdf?cache=1.4'],"['https://pointpay.io/', 'https://www.instagram.com/pointpayofficial/', 'https://blog.pointpay.io/', 'https://pointpay.medium.com/']",PointPay,[],['http://pointpay.me'],pxp,5711065.0,1092.0,849998093.386393,1000000000.0,449998093.386393,https://assets.coingecko.com/coins/images/8950/large/6f9823ed-464a-4413-8940-72aa61d30b43.png?1645271610,2020-06-02T07:47:18.207Z,2020-09-16T09:58:53.348Z
kambria,,['https://kambria.io/wp-content/uploads/2023/01/Kambria_White_Paper_v2_20180615.pdf'],"['https://kambria.io/', 'https://medium.com/kambria-network', 'https://www.linkedin.com/company/kambria/']",Kambria,"['https://kambria.io/Kambria_White_Paper_v2_20180615.pdf', 'https://r48z5eeksx9s2hyas5b71c69-wpengine.netdna-ssl.com/wp-content/uploads/2019/07/Kambria_White_Paper_v2_20180615.pdf']",['https://kambria.io/'],kat,3902065.0,1247.0,5000000000.0,,1595256717.8195074,https://assets.coingecko.com/coins/images/4784/large/kambria.png?1547040127,2018-12-20T00:55:07.871Z,2022-04-13T08:44:31.626Z
musd,,[],['http://mstable.org/'],mStable USD,['https://docs.mstable.org/'],['https://mstable.org/'],musd,3466168.0,1298.0,4274242.42317358,,4274242.42317358,https://assets.coingecko.com/coins/images/11576/large/mStable_USD.png?1595591803,2022-07-25T07:15:35.139Z,2021-05-19T13:21:14.799Z
skeb,,[],['https://skebcoin.com/'],Skeb,[],[],skeb,1937226.0,1607.0,9979886009.0,10000000000.0,2357425000.0,https://assets.coingecko.com/coins/images/27155/large/skebcoin-cmc.png?1662206072,2022-12-06T09:09:36.809Z,2023-05-25T02:38:41.536Z
multichain,https://www.tabbre.io/documents/TabbreMultichainLedger20190808.pdf,[],"['https://multichain.org/', 'https://docs.multichain.org/', 'https://multichainorg.medium.com/']",Multichain,['https://docs.multichain.org/'],['https://multichain.org/'],multi,62338657.0,332.0,100000000.0,,19363292.6,https://assets.coingecko.com/coins/images/22087/large/1_Wyot-SDGZuxbjdkaOeT2-A.png?1640764238,2022-01-14T12:30:34.074Z,2022-06-19T02:34:57.530Z
paraswap,,[],"['https://paraswap.io/', 'https://app.paraswap.io/?ref=MHhkNDY1MDVGNkI4QjUxYWIxNzBGNWZmNkU0MTJmNTUzRTZlMzQzNWU2', 'https://paraswap.medium.com/']",ParaSwap,['https://doc.paraswap.network/'],"['https://app.paraswap.io', 'https://paraswap.io']",psp,19223024.0,655.0,2000000000.0,2000000000.0,723549997.0643697,https://assets.coingecko.com/coins/images/20403/large/ep7GqM19_400x400.jpg?1636979120,2021-11-15T13:01:54.681Z,2022-08-29T14:30:16.203Z
mobius,http://filecache.mediaroom.com/mr5mr_varianmedicalaffairs/178514/Mobius3D-WhitePaper-HullUniv-2022.0216.pdf,[],['https://mobius.network/'],Mobius,[],['https://www.mobius.co/'],mobi,2144859.0,1548.0,887990859.0,,513996636.0,https://assets.coingecko.com/coins/images/1501/large/mobius.png?1548085244,2021-12-21T06:13:30.096Z,2020-03-20T08:47:25.045Z
panther,,[],"['https://www.pantherprotocol.io/', 'https://blog.pantherprotocol.io/']",Panther Protocol,['https://www.pantherprotocol.io/resources/panther-protocol-v-1-0-1.pdf'],['https://pantherprotocol.io/'],zkp,6072936.0,1069.0,282028995.0,1000000000.0,282028995.0,https://assets.coingecko.com/coins/images/18611/large/panther.jpg?1671503084,2022-03-05T02:20:14.774Z,2022-06-13T19:36:28.102Z
beam,https://docs.beam.mw/BEAM_Position_Paper_v0.2.2.pdf,['https://download.wpsoftware.net/bitcoin/wizardry/mimblewimble.txt'],['https://www.beam.mw/'],BEAM,['https://docs.beam.mw/BEAM_Position_Paper_v0.2.2.pdf'],['https://www.beam.mw/'],beam,4755682.0,1170.0,262800000.0,,141399720.0,https://assets.coingecko.com/coins/images/7339/large/BEAM.png?1558013729,2019-01-04T14:43:42.084Z,2023-03-25T13:06:41.786Z
nudes,,[],"['https://nudes.army/', 'https://medium.com/nudes-army']",NUDES,['https://nudes-1.gitbook.io/nudes/'],['https://nudes.army/'],nudes,2476176.0,1460.0,9929012942812560.0,1e+16,8585552831380630.0,https://assets.coingecko.com/coins/images/24888/large/NUDES.png?1649252682,2022-05-01T17:59:57.576Z,2023-01-05T10:29:37.441Z
hydradx,,[],"['https://hydradx.io/', 'https://hydradx.substack.com/archive']",HydraDX,['https://docs.hydradx.io/'],['https://hydradx.io/'],hdx,14512891.0,769.0,4372720781.85969,6500000000.0,2502672104.88628,https://assets.coingecko.com/coins/images/13929/large/hydradx_logo.png?1612877025,2023-01-28T00:00:00.000Z,2023-04-10T08:41:13.159Z
golem,https://assets.website-files.com/60005e3965a10f31d245af87/60352707e6dd742743c75764_Golemwhitepaper.pdf,['https://golem.network/doc/Golemwhitepaper.pdf'],['https://golem.network/'],Golem,['https://golem.network/doc/Golemwhitepaper.pdf'],['https://golem.network'],glm,169835806.0,171.0,1000000000.0,,1000000000.0,https://assets.coingecko.com/coins/images/542/large/Golem_Submark_Positive_RGB.png?1606392013,2018-04-13T09:13:22.739Z,2016-12-12T00:00:00.000Z
minted,,[],['https://minted.network/'],Minted,[],['http://www.minted.com/'],mtd,17136433.0,707.0,884302483.0,1000000000.0,169804516.458889,https://assets.coingecko.com/coins/images/26893/large/MTD_Token_%282%29.png?1660708482,2022-11-06T13:23:52.441Z,2023-05-22T07:40:08.749Z
bosagora,,['https://bosagora.io/files/BOSAGORA_Whitepaper_EN_Nov_2022.pdf'],"['https://www.bosagora.io/', 'https://medium.com/bosagora']",BOSagora,['https://bosagora.io/wp-content/uploads/2020/01/BOSAGORA-Whitepaper-En.pdf'],['https://bosagora.io'],boa,4428758.0,1197.0,584270391.375647,4950000000.0,332070223.155712,https://assets.coingecko.com/coins/images/9202/large/Picture1.png?1673623413,2021-03-28T15:11:46.457Z,2021-01-10T11:26:16.620Z
internet-node-token,,[],"['https://intchain.io/', 'https://medium.com/int-chain']",INTchain,[],['https://intchain.io/'],int,2114585.0,1555.0,927388163.718529,960304191.96,686537397.070946,https://assets.coingecko.com/coins/images/2519/large/int-logo-red-transparent_200x200.png?1617251612,2018-01-22T00:00:00.000Z,2022-12-23T23:15:42.551Z
nimiq-2,,[],"['https://nimiq.com/', 'https://medium.com/nimiq-network']",Nimiq,"['https://medium.com/nimiq-network/nimiq-a-peer-to-peer-payment-protocol-native-to-the-web-ffd324bb084', 'https://nimiq.com/whitepaper']",['https://nimiq.com/'],nim,13226654.0,802.0,8886561196.0,21000000000.0,10778355272.7649,https://assets.coingecko.com/coins/images/5119/large/nimiq.png?1548329167,2021-04-12T00:43:04.025Z,2020-01-03T01:55:45.891Z
shardus,,[],"['https://shardus.com/', 'https://medium.com/@shardus', 'https://steemit.com/@shardus']",Shardus,['https://shardus.com/whitepaper.pdf'],['https://shardus.com/'],ult,54129630.0,366.0,1000000000.0,,439556760.33010703,https://assets.coingecko.com/coins/images/8383/large/final_logo_photoshop.png?1557890272,2021-05-03T23:24:40.764Z,2020-02-03T01:57:18.293Z
btc-2x-flexible-leverage-index,,[],"['https://www.tokensets.com/portfolio/btcfli', 'https://indexcoop.com/bitcoin-flexible-leverage-index-btc2xfli', 'https://indexcoop.com/blog/']",BTC 2x Flexible Leverage Index,[],[],btc2x-fli,1714616.0,1662.0,286971.82290293,,286971.82290293,https://assets.coingecko.com/coins/images/15406/large/Copy_of_BTC2x-FLI_token_logo.png?1646749417,2021-05-11T19:39:34.307Z,2022-11-22T07:05:12.392Z
binancecoin,https://bnbback.io/BNBBACK_Whitepaper.pdf,[],['https://www.binance.com/'],BNB,['https://www.exodus.com/assets/docs/binance-coin-whitepaper.pdf'],['https://www.binance.com/en/bnb'],bnb,39757158079.0,4.0,157900174.0,200000000.0,157886280.0,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,2021-11-07T10:13:53.906Z,2017-10-19T00:00:00.000Z
paid-network,,[],"['https://paidnetwork.com/', 'https://paidnetwork.medium.com/']",PAID Network,['https://docsend.com/view/jdbdpza9d9nehnf2'],"['https://paidnetwork.com', 'https://paidnetwork.medium.com']",paid,3357238.0,1311.0,594717455.71,594717455.71,223595820.40154,https://assets.coingecko.com/coins/images/13761/large/512.png?1648630881,2021-04-11T21:08:21.738Z,2023-01-01T00:06:25.336Z
factor,,['https://docs.factor.fi/'],"['https://www.factor.fi/', 'https://linktr.ee/factor.fi']",FactorDAO,['https://factorlaunch.notion.site/Whitepaper-d25b8a9d8d3341948c439038e387cf97'],['https://www.factor.fi/'],fctr,2836922.0,1398.0,100000000.0,100000000.0,15000000.0,https://assets.coingecko.com/coins/images/29018/large/factor.jpg?1675944657,2023-02-26T22:30:23.357Z,2023-05-27T20:05:03.873Z
blockport,,['http://blockport.io/read-the/whitepaper.pdf'],"['https://getbux.com/bux-crypto/', 'https://getbux.com/blog/']",BUX,[],['https://getbux.com/'],bux,4518770.0,1192.0,76384000.0,,64853973.82022536,https://assets.coingecko.com/coins/images/2316/large/BUXC.png?1600760731,2019-02-21T05:59:36.833Z,2019-09-27T00:00:00.000Z
sai,,[],['https://makerdao.com/'],Sai,['https://makerdao.com/ru/whitepaper/sai/'],['https://makerdao.com/'],sai,21915791.0,611.0,2910956.56571928,2910956.56571928,2910956.56571928,https://assets.coingecko.com/coins/images/1442/large/dai.png?1547035520,2021-05-14T17:24:02.613Z,2018-01-27T00:00:00.000Z
everdome,,[],"['https://everdome.io/', 'https://www.youtube.com/metahero']",Everdome,['https://everdome-static.s3.eu-north-1.amazonaws.com/EVERDOME_LITEPAPER_V3_compressed_0a2caf498c.pdf?updated_at=2022-02-14T10%3A42%3A22.506Z'],['https://everdome.io/'],dome,20534444.0,634.0,100000000000.0,100000000000.0,22177498356.0,https://assets.coingecko.com/coins/images/23267/large/Ix-ms0fq_400x400.jpg?1643414048,2022-02-17T10:40:37.142Z,2023-05-12T11:04:22.784Z
openocean,,[],"['https://openocean.finance/', 'https://app.openocean.finance/', 'https://blog.openocean.finance/']",OpenOcean,['https://docs.openocean.finance'],"['https://app.openocean.finance', 'https://openocean.finance']",ooe,7130195.0,1014.0,1000000000.0,1000000000.0,504425832.0,https://assets.coingecko.com/coins/images/17014/large/ooe_log.png?1626074195,2021-09-02T13:50:30.100Z,2023-01-05T12:05:10.560Z
dynex,https://dynexcoin.org/wp-content/uploads/2023/01/Dynex-whitepaper.pdf,[],"['https://dynexcoin.org/', 'https://dynexcoin.medium.com/']",Dynex,[],[],dnx,9091369.0,932.0,56631832.1196032,100000000.0,56635885.9014675,https://assets.coingecko.com/coins/images/27776/large/Transparent_Logo.png?1665728441,2023-04-16T07:59:19.763Z,2022-10-19T08:57:45.443Z
adapad,,[],['https://adapad.io/'],ADAPad,[],['https://adapad.io/'],adapad,2306467.0,1500.0,375441694.823254,1000000000.0,375441694.823254,https://assets.coingecko.com/coins/images/18273/large/EhSqPTtG_400x400.jpg?1631181091,2021-10-06T21:50:04.424Z,2022-12-31T11:26:25.009Z
mahadao,,[],"['https://mahadao.com/', 'https://medium.com/mahadao', 'https://t.me/MahadaoAnnouncements']",MahaDAO,['https://docs.arthcoin.com/'],['https://mahadao.com/'],maha,1959910.0,1603.0,10000000.0,10000000.0,4911702.969057147,https://assets.coingecko.com/coins/images/13404/large/MAHA_Token.png?1625651604,2021-01-18T14:07:35.812Z,2023-05-11T05:58:30.672Z
solo-coin,,[],"['https://www.sologenic.com/', 'https://sologenic.medium.com/']",Sologenic,['https://www.sologenic.com/downloads/sologenic-whitepaper.pdf'],['https://www.sologenic.com/'],solo,43196110.0,403.0,399198717.0,400000000.0,399198717.0,https://assets.coingecko.com/coins/images/10771/large/solo.png?1639914533,2021-12-02T18:22:08.995Z,2021-10-28T22:57:25.877Z
decentral-games,,[],['https://decentral.games/'],Decentral Games,['https://docs.decentral.games'],['https://decentral.games/'],dg,12872595.0,813.0,681219905.978227,1000000000.0,681219905.978227,https://assets.coingecko.com/coins/images/21173/large/Decentral_Games_Logo-1.png?1638441275,2021-12-02T10:54:22.100Z,2023-01-25T15:02:22.957Z
neighbourhoods,,[],"['https://neighbourhoods.network/', 'https://medium.com/sacred-capital']",Neighbourhoods,['https://whitepaper.neighbourhoods.network/'],['https://neighbourhoods.network/'],nht,1900536.0,1620.0,10000000000.0,30000000000.0,8572300325.099251,https://assets.coingecko.com/coins/images/22055/large/social_media_logo_black_bg.png?1640682530,2022-01-05T14:09:08.644Z,2023-01-17T17:46:14.486Z
futurecoin,https://file.futurecoin.global/file/futurecoin/FutureCoin+White+Paper.pdf,['https://assets.e-futurecoin.com/Future-Coin-WP.pdf'],['https://e-futurecoin.com/'],FutureCoin,['https://assets.e-futurecoin.com/Future-Coin-WP.pdf'],['https://e-futurecoin.com/'],future,1169838.0,1852.0,119680000.0,,38411534.56288676,https://assets.coingecko.com/coins/images/23806/large/3ptM03y.png?1645509244,2023-01-08T01:26:30.980Z,2023-05-19T19:20:17.792Z
graphlinq-protocol,,[],"['https://graphlinq.io/', 'https://graphlinq.medium.com/']",GraphLinq Protocol,"['https://graphlinq.io/litepaper.pdf', 'https://graphlinq.io/whitepaper.pdf']",['https://graphlinq.io/'],glq,1825689.0,1639.0,499999961.366287,499999961.366287,339999895.0,https://assets.coingecko.com/coins/images/14474/large/graphlinq_logo.jpg?1616397109,2021-05-18T09:24:41.144Z,2022-06-18T20:00:31.663Z
aston-martin-cognizant-fan-token,,[],"['https://www.socios.com/', 'https://medium.com/socios']",Aston Martin Cognizant Fan Token,[],"['https://medium.com/socios', 'https://chiliz.com', 'https://socios.com']",am,1447944.0,1744.0,10000000.0,,2009081.0,https://assets.coingecko.com/coins/images/16868/large/VVY4ZVPQ8EJoHgJGCRNGptFXFICPT5mpxwHMmSEW.png?1625476315,2021-07-06T10:33:43.080Z,2023-01-01T10:00:21.899Z
alchemix-usd,,[],"['https://alchemix.fi/', 'https://alchemixfi.medium.com/']",Alchemix USD,[],['https://alchemix.fi/'],alusd,137476457.0,191.0,171719805.602693,,171719805.602693,https://assets.coingecko.com/coins/images/14114/large/Alchemix_USD.png?1614410406,2021-03-21T19:53:32.860Z,2021-03-19T22:40:28.697Z
band-protocol,,[],"['https://bandprotocol.com/', 'https://medium.com/bandprotocol', 'https://docs.bandchain.org/']",Band Protocol,['https://bandprotocol.com/whitepaper-3.0.1.pdf'],['https://bandprotocol.com'],band,147130948.0,184.0,134906853.82513,,126107371.838294,https://assets.coingecko.com/coins/images/9545/large/Band_token_blue_violet_token.png?1625881431,2021-04-15T12:04:11.270Z,2019-11-25T05:49:22.765Z
naga,https://files.naga.com/NAGA_Passion_to_Wealth.pdf,[],['https://nagax.com/'],NAGA,"['https://files.nagaico.com/documents/The%20NAGA%20Coin_White%20Paper_V1.0.0.pdf', 'https://docsend.com/view/srsg4zw']","['https://nagacoin.io', 'https://nagaico.com']",ngc,7401822.0,994.0,77910266.0,77910266.0,77910266.0,https://assets.coingecko.com/coins/images/1439/large/naga.jpg?1547035515,2017-12-30T00:00:00.000Z,2020-03-13T02:12:35.954Z
guildfi,,[],"['https://guildfi.com/', 'https://medium.com/@guildfiofficial']",GuildFi,['https://whitepaper.guildfi.com/'],['https://guildfi.com/'],gf,17634155.0,695.0,1000000000.0,1000000000.0,295214328.740514,https://assets.coingecko.com/coins/images/20933/large/guildfi-logo-200.png?1638003537,2021-12-04T15:04:25.133Z,2023-05-26T13:00:43.372Z
huobi-btc,,[],"['https://www.hbtc.finance/zh-cn/', 'https://www.hecochain.com/en-us/assets/']",Huobi BTC,['https://www.hbtc.finance/static/pdf/whitepaper-en.pdf'],['https://www.hbtc.finance/zh-cn/'],hbtc,201972946.0,148.0,8969.497004742,8969.497004742,8969.497004742,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896,2022-04-21T18:59:43.859Z,2020-10-12T03:56:16.768Z
adamant-messenger,,['https://adamant.im/whitepaper/adamant-whitepaper-en.pdf'],"['https://adamant.im/', 'https://msg.adamant.im/']",ADAMANT Messenger,['https://adamant.im/whitepaper/adamant-whitepaper-en.pdf'],"['https://adamant.im', 'https://msg.adamant.im']",adm,1600855.0,1688.0,100671565.0,,110817114.5,https://assets.coingecko.com/coins/images/2372/large/adamant.png?1586835505,2019-05-15T23:44:19.855Z,2023-02-17T00:05:48.125Z
genomesdao,,[],"['https://genomes.io/', 'https://medium.com/@intern_57220']",GenomesDAO,[],['https://genomes.io'],$gene,1465891.0,1736.0,1000000000.0,1000000000.0,270847054.2630852,https://assets.coingecko.com/coins/images/20807/large/1637683704200x200.png?1637708934,2021-11-25T16:49:16.781Z,2023-01-01T18:55:16.141Z
nav-coin,,[],"['http://www.navcoin.org/', 'https://medium.com/nav-coin']",Navcoin,"['https://www.navcoin.org/files/navtech-whitepaper-beta-v0.9.pdf', 'https://doc.nav.community/']","['http://navcoin.org', 'https://info.navcoin.org']",nav,3163068.0,1341.0,,,76252898.5931305,https://assets.coingecko.com/coins/images/233/large/Navcoin_Logo.png?1618823660,2018-01-12T00:00:00.000Z,2014-10-31T00:00:00.000Z
interlay,https://raw.githubusercontent.com/interlay/whitepapers/master/Interlay_Token_Economy.pdf,[],"['https://interlay.io/', 'https://app.interlay.io/transfer']",Interlay,"['https://docs.interlay.io/', 'https://eprint.iacr.org/2018/643.pdf']",['https://interlay.io/'],intr,1641341.0,1680.0,1000000000.0,,94782414.3560784,https://assets.coingecko.com/coins/images/26180/large/Interlay-Coinbase-2.png?1656382486,2022-07-18T19:45:36.630Z,2023-01-08T14:35:07.365Z
frax,https://fraxeum.com/wp-content/uploads/2020/10/Fraxeum_Whitepaper.pdf,[],['https://frax.finance/'],Frax,['https://docs.frax.finance/overview'],"['http://shef.ac.uk/frax', 'https://frax.finance']",frax,808293054.0,47.0,1004141409.40878,1004141409.40878,1004141409.40878,https://assets.coingecko.com/coins/images/13422/large/FRAX_icon.png?1679886922,2022-09-26T01:02:24.134Z,2021-05-19T13:13:57.891Z
regen,https://www.regen.co.uk/wp-content/uploads/Regen-Local-Delivery-of-Heat.pdf,['https://regen-network.gitlab.io/whitepaper/Economics.pdf'],"['https://www.regen.network/', 'https://medium.com/regen-network']",Regen,[],['https://www.regen.de/'],regen,9276012.0,923.0,148354422.875587,,148354422.875587,https://assets.coingecko.com/coins/images/16733/large/REGEN.png?1624861317,2021-09-20T00:00:07.421Z,2023-05-30T21:45:23.072Z
morpheus-network,,['https://morpheus.network/assets/Morpheus.Network_Black_Platform.pdf'],['https://morpheus.network/'],Morpheus Network,[],['https://morpheus.network/'],mnw,47763356.0,386.0,47897218.0,47897218.0,37520088.3855,https://assets.coingecko.com/coins/images/2379/large/MRPH_CoinGecko.png?1635847791,2021-11-11T07:57:14.750Z,2018-08-11T00:00:00.000Z
